question,answer
Who is Founder?,"Sitare University was founded by Dr. Amit Singhal, who was earlier Senior Vice President of Google Search."
Why the curriculum such diversified?,"The curriculum at Sitare University focuses on industry oriented CS education. Our students learn Python, Math, Data Structures and English Communication in first year; Algorithms, Java, Systems, Databases/IR, and Machine Learning in second year; Frontend, Systems, and more Machine Learning in third year alongside Hands-on Projects and Problem Solving. The fourth year is to be spent in the industry. Our students get paid internships right from the first summer itself."
How many students are there?,We currently have 221 students at Sitare University
"What is approximate student, professor ratio?",The student:teacher ratio is roughly 15:1.
Whom to tell if I want to leave any club?,You need to inform the club coordinator.
"If i am interested in dropping from a club, where should I contact or inform ?","To leave or join a club, you need to inform the club coordinator."
How much will the placement cost?,Placements are provided by Sitare University without any charges for the student.
Is placement will happened before 4th year internship or after finshing internship?,Final placements will happen during 4th year internship.
Are first year internship paid?,"All our internships are paid, starting from the first year."
What average placement I can expect if i had a good academic report,We will be able to share placement statistics next year.
What will be the average placement in this university,We will be able to share placement statistics next year.
About CAMPUS :- How does SRMCEM promote a safe and inclusive environment for all students?,"SRMCEM campus has tight security, and vigilant wardens and teaching staff."
Where Sitare University is situated?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
what should we do to maintain our scholarship?,"To maintain your scholarship, you need to maintain a CGPA of 6.5 after every academic year."
Why is Sitare University providing scholarship??,Sitare University was started to help bright students from underprivileged backgrounds in getting high paying jobs.
What about the incoming internship stipend of first batch of Sitare University and also gives us a rough idea about placement?,We will be able to share placement statistics from next year onwards.
When we may ask doubts from the teacher after class?,"You can personally ask doubts to the teacher either during the class, or during office hours. Apart from that, you can ask doubts online through an appropriate channel (eg. Discord or Email) as advised by the teacher."
Is Sitare focus on other things than computer science which is important for a student overall development and personality development?,Sitare University spends a lot of time and energy in training students to improve their English Communication skills and in overall personality development.
About ACADEMIC:- How does SRMCEM integrate industry trends into its course curriculum?,"The curriculum at Sitare University focuses on industry oriented CS education. Our students learn Python, Math, Data Structures and English Communication in first year; Algorithms, Java, Systems, Databases/IR, and Machine Learning in second year; Frontend, Systems, and more Machine Learning in third year alongside Hands-on Projects and Problem Solving. The fourth year is to be spent in the industry. Our students get paid internships right from the first summer itself."
I am new in learning programming languages and I have joined Coding Club . Is it affect my CGPA?,Coding Club is not meant for freshers.
Marking scheme of assignment as well as examination?,"For details of the exams and marking scheme, please contact your respective course teacher."
"We have lots of Sitare WhatsApp groups like official and unofficial. We have lots of application like slack for coding club , discord for programming languages and email regarding messages. So it make us difficult to get messages properly. Please make only one platform for official notice and one for homework and class discussion.","Different platforms serve different purposes, and so using multiple platforms is unavoidable for the time being."
"What if someone wants to go for master in computer science, how will sitare support him/her? Will it provide only support or financial also?",Sitare University currently does not have any policy to support students for higher studies.
Does Sitare University supports students who wants to pursue their higher education in computer science like Mtech ?,Sitare University currently does not have any policy to support students for higher studies.
"Who will provide us the degree after we move to the new campys, SRMU or Sitare ??","Currently, Sitare Unviversity students will get their degree from SRMU."
Will sitare provide hostel/mess in indore campus also,Sitare University will surely provide hostel and mess facilities when we move to our own campus on the Indore-Bhopal highway.
Will sitare provide all the courses of btech after some years?,Sitare University currently does not have any plan to offer non-CS branches of study.
How many student have joined sitare university till now?,We currently have 221 students at Sitare University
Why should I join Sitare University?,"Sitare University is a unique initiative in the world which aims to provide high quality Computer Science education completely free of cost to bright students from underprivileged backgrounds. There is not a single penny charged from the students for food or accommodation or studies. All this without compromising on the quality of education. In fact, we can proudly say that the quality of our faculty and teaching is already much better than most private universities and several of the new IITs. It was started in 2022 by Dr. Amit Singhal, who was earlier Senior Vice President at Google."
If i get 7 cgpa will i get full scholarship?,Students who maintain a CGPA of 6.5 and have a family income below 3 LPA will get scholarship from Sitare Foundation.
Why everything is connected to marks ?,"The curriculum and pedagogy of Sitare University is designed as per industry requirements, and so the marks obtained in our courses are a very good reflection of the industry readiness of our students."
Total how many students are there in SU?,We currently have 221 students at Sitare University
which seater room will be available in campus,"Generally, 2 and 3 sharing rooms are alloted as per the availability."
If we are not part of sports club . We will not be involved in any sports?,If you are not a member of any club you can still participate in events and competitions organized by the club.
"In new campus , any student can live outside the campus? or it is necessary to live in the hostel","Sitare provides Academic, hostel and food facilities under scholarship expecting from a student to be in hostel for easy access to classrooms and attendance management."
Tells about sports facilities available at sitare University?,Sitare university motivates sports club to host sports events and activities by providing sports equipments/kits.
Why only Computer Science only??,"Education at Sitare University is completely focussed on Computer Science, since our mission is to train students from underprivileged backgrounds to get high paying jobs. Computer Science has now become an integral part of every other domain, be it engineering or management."
is all faculty take classes offline or for any specific subject it is offline ?,Most of our classes are offline. But a few classes may be online in case the faculty is located outside India or if the faculty is unable to travel to Lucknow.
What if a student wants to do further studies in particular field ?,"Our faculty members have PhD from top institutes in India and abroad, and so students interested in research will surely get the required training."
What will be the placement package?,"Our first batch is now in third year, and so it will take one more year for us to provide placement information. But given the large network of startups that we have, placements will not be a problem for any student."
is placement is granteed ?,"Our first batch is now in third year, and so it will take one more year for us to provide placement information. But given the large network of startups that we have, placements will not be a problem for any student."
Sitare university average package?,"Our first batch is now in third year, and so it will take one more years for us to provide placement information. But given the quality of our training and the large network of startups that we have, placements and packages will not be a problem for any student."
what is the menu of food in hostel,Our mess provides hygeinic food of very good quality.
What types of foods will be there in the mess veg/non veg ?,Our mess provides hygeinic food of very good quality.
When we shift in our ownsitare campus ?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
When will Sitare University campus will be ready?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
"About the campus,as they are operating in srmu.","Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
How long does it take to move to new campus?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
will any market around new campus there or not,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow."
What are the chances that we will get placement in good companies ?,"Our placements are yet to happen since our first batch is currently in its third year. But our students have been offered internships in their first year itself by startups like Glean, Inmobi, Mathesis Advisers, Trademo, Chalo, Beans.ai, Skyroot, Yulu, Zeni, Tracxn, Moglix, Proshort, ChaiPoint, FirstHive and many more."
Does everyone get the internship in the first year ?,Our students get internships from the first year itself through our vast network of startups.
How will you ensure to give internship to 160 students at a time ???,Our students get internships from the first year itself through our vast network of startups.
can we all get internship in our first summer?,Our students get internships from the first year itself through our vast network of startups.
What internship opportunities are available?,Our students get internships from the first year itself through our vast network of startups.
"Is it true that students from the first year itself gets an internship? If yes ,How?",Our students get internships from the first year itself through our vast network of startups.
How internship after 1st year ??,Our students get internships from the first year itself through our vast network of startups.
About INTERNSHIP:- Does SRMCEM have partnerships with any international companies or organizations for internships or training?,Our students get internships from the first year itself through our vast network of startups.
Will every student of Sitare University get placement?,"Sitare University has an industry focussed curriculum, provides individual attention to all students, and takes full responsibility for student placements."
What's the surity of placement if i maintain good academic report through out the year?,"The best way to deal with any job scarcity situation is to provide a broad exposure to students so that they can aspire to compete in multiple domains. Sitare University focusses on all application oriented areas of Computer Science like Data Structures, Algorithms, Data Science, Machine Learning, Deep Learning, Artificial Intelligence, Database Management Systems, Computer Networks, etc"
What is special about Sitare curriculum and why it is known as different from other institute of India?,"The curriculum at Sitare University focuses on industry oriented CS education. Our students learn Python, Math, Data Structures and English Communication in first year; Algorithms, Java, Systems, Databases/IR, and Machine Learning in second year; Frontend, Systems, and more Machine Learning in third year alongside Hands-on Projects and Problem Solving. The fourth year is to be spent in the industry. Our students get paid internships right from the first summer itself."
What is the curriculum of Sitara University ?,"The curriculum at Sitare University focuses on industry oriented CS education. Our students learn Python, Math, Data Structures and English Communication in first year; Algorithms, Java, Systems, Databases/IR, and Machine Learning in second year; Frontend, Systems, and more Machine Learning in third year alongside Hands-on Projects and Problem Solving. The fourth year is to be spent in the industry. Our students get paid internships right from the first summer itself."
What is the curriculum of sitare university?,"The curriculum at Sitare University focuses on industry oriented CS education. Our students learn Python, Math, Data Structures and English Communication in first year; Algorithms, Java, Systems, Databases/IR, and Machine Learning in second year; Frontend, Systems, and more Machine Learning in third year alongside Hands-on Projects and Problem Solving. The fourth year is to be spent in the industry. Our students get paid internships right from the first summer itself."
I am unsure about how you are going to provide sports facilities to girls like basketball beacuse it needs a team and we don't have enough members in team??,"We actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy. We have very good facilities for many different sports including cricket, football, basketball, etc. We also have several student clubs for various activities like music, startups, etc."
Why dance club is not there?,"We actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy. We have very good facilities for many different sports including cricket, football, basketball, etc. We also have several student clubs for various activities like music, startups, etc."
When will everything start for the sports club?,"We actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy. We have very good facilities for many different sports including cricket, football, basketball, etc. We also have several student clubs for various activities like music, startups, etc."
"What's student life on campus, like clubs,fest and all","We actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy. We have very good facilities for many different sports including cricket, football, basketball, etc. We also have several student clubs for various activities like music, startups, etc."
"Tell me about the facilities available like Sport, Hostel?","We actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy. We have very good facilities for many different sports including cricket, football, basketball, etc. We also have several student clubs for various activities like music, startups, etc."
"About the assurity of degree completion,As this is a unique University parents have doubts about the completion of degree.","We are in the process of getting the approvals. Till then, the degree will be given by Sri Ramswaroop Memorial University, Lucknow."
From which university our final degree would be,"We are in the process of getting the approvals. Till then, the degree will be given by Sri Ramswaroop Memorial University, Lucknow."
What are the different branches offered by Sitare University?,"We currently have only one branch, which is Computer Science."
Medical facilities,We have doctors available both on campus and in nearby hospitals.
Gender ratio,We roughly have one girl student for every 4 boy students. But we hope to reach a 50:50 gender ratio over the next few years.
Why should i chose Sitare over other other private universities?,"We strongly believe that Sitare University is currently the best place to study Computer Science in India. Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost."
Is it better than nits and iiits,"We strongly believe that Sitare University is currently the best place to study Computer Science in India. Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost."
Why SU is best over private collages?,"We strongly believe that Sitare University is currently the best place to study Computer Science in India. Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost."
